# Used by org.languagetool.rules.nl.MissingSpaceRule
# should be used for compound of 2 parts and more
# those should not be in simple replace then.
# format: separate parts of compound word| description of meaning of compound (to avoid confusion with occasion correct use of split form)
anti steroïde hysterie|hysterie tegen steroïde
anti stick coating|coating tegen stick
anti stick eigenschappen|eigenschappen tegen stick
anti stick potjes|potjes tegen stick
anti stierengevecht activiste|activiste tegen stierengevecht
anti stigma campagne|campagne tegen stigma
anti stigma campagnes|campagnes tegen stigma
anti stigma initiatieven|initiatieven tegen stigma
anti stofmijt eigenschappen|eigenschappen tegen stofmijt
anti stolling drugs|drugs tegen stolling
anti stolling effect|effect tegen stolling
anti stolling eigenschappen|eigenschappen tegen stolling
anti stolling geneesmiddelen|geneesmiddelen tegen stolling
anti stolling medicatie|medicatie tegen stolling
anti stolling medicijnen|medicijnen tegen stolling
anti stollingsmiddel anticoagulantia|anticoagulantia tegen stollingsmiddelcoagula
anti stollingsmiddel drug|drug tegen stollingsmiddel
anti straatvervuiling campagne|campagne tegen straatvervuiling
anti straling armbanden|armbanden tegen straling
anti straling effecten|effecten tegen straling
anti straling eigenschappen|eigenschappen tegen straling
anti straling kwaksites|kwaksites tegen straling
anti straling raketaanvallen|raketaanvallen tegen straling
anti stranding kruizen|kruizen tegen stranding
anti stress|stress tegen 
anti stress animatie|animatie tegen stress
anti stress arrangement|arrangement tegen stress
anti stressartikelen|stressartikelen tegen 
anti stress balletje|balletje tegen stress
anti stress band|band tegen stress
anti stress bandje|bandje tegen stress
anti stress beauty|beauty tegen stress
anti stress behandeling|behandeling tegen stress
anti stress-behandeling|stress-behandeling tegen 
anti stress behandelingen|behandelingen tegen stress
anti stress bouwhelm|bouwhelm tegen stress
anti stress bouwhelmpje|bouwhelmpje tegen stress
anti stress box|box tegen stress
anti stress cadeau|cadeau tegen stress
anti stress centrum|centrum tegen stress
anti stress consultancy|consultancy tegen stress
anti stress cursus|cursus tegen stress
anti stress dokters|dokters tegen stress
anti stress doos|doos tegen stress
anti stress drug|drug tegen stress
anti stress edelsteen|edelsteen tegen stress
anti stress effect|effect tegen stress
anti stress eigenschap|eigenschap tegen stress
anti stress expert|expert tegen stress
anti stress factoren|factoren tegen stress
anti stress figuur|figuur tegen stress
anti stress figuurtje|figuurtje tegen stress
anti stress figuurtjes|figuurtjes tegen stress
anti stress gelaatsbehandeling|gelaatsbehandeling tegen stress
anti stress gereedschappen|gereedschappen tegen stress
anti stress groepsles|groepsles tegen stress
anti stresshalsband|stresshalsband tegen 
anti stress hart|hart tegen stress
anti stress hoekje|hoekje tegen stress
anti stress hormonen|hormonen tegen stress
anti stresshormonen cortisol|cortisol tegen stresshormonen
anti stress hormoon|hormoon tegen stress
anti stress hulpmiddel|hulpmiddel tegen stress
anti stress items|items tegen stress
anti stress jaar|jaar tegen stress
anti stress kilometers|kilometers tegen stress
anti stress koe|koe tegen stress
anti stress management|management tegen stress
anti stress maskertje|maskertje tegen stress
anti stressmassage|stressmassage tegen 
anti stress-massage|stress-massage tegen 
anti stress massages|massages tegen stress
anti stress materiaal|materiaal tegen stress
anti stress medicijn|medicijn tegen stress
anti stress mengeling|mengeling tegen stress
anti stress methode|methode tegen stress
anti stress middeltjes|middeltjes tegen stress
anti stress moment|moment tegen stress
anti stress nachtcrème|nachtcrème tegen stress
anti stress onderdeel|onderdeel tegen stress
anti stress opgieting|opgieting tegen stress
anti stress pakket|pakket tegen stress
anti stress parfum|parfum tegen stress
anti stress personeelsgeschenken|personeelsgeschenken tegen stress
anti stress pilletje|pilletje tegen stress
anti stress poppetjes|poppetjes tegen stress
anti stress product|product tegen stress
anti stress producten|producten tegen stress
anti stress programma|programma tegen stress
anti stress promotie|promotie tegen stress
anti stress regeling|regeling tegen stress
anti stress relatiegeschenk|relatiegeschenk tegen stress
anti stress remedie|remedie tegen stress
anti stress resort|resort tegen stress
anti stress schoenen|schoenen tegen stress
anti stress shirt|shirt tegen stress
anti stress sleutelhangertjes|sleutelhangertjes tegen stress
anti stress speelgoed|speelgoed tegen stress
anti stress spullen|spullen tegen stress
anti stress stoelmassage|stoelmassage tegen stress
anti stress stukje|stukje tegen stress
anti stress supplementen|supplementen tegen stress
anti stress systeem|systeem tegen stress
anti stress technieken|technieken tegen stress
anti stress thee|thee tegen stress
anti stress therapie|therapie tegen stress
anti stress training|training tegen stress
anti stress tripjes|tripjes tegen stress
anti stress trukendoos|trukendoos tegen stress
anti stress variant|variant tegen stress
anti stress varianten|varianten tegen stress
anti stress vitamine|vitamine tegen stress
anti stress voetmassage|voetmassage tegen stress
anti stress wandeling|wandeling tegen stress
anti stress werking|werking tegen stress
anti stress werkstof|werkstof tegen stress
anti stress werkstoffen|werkstoffen tegen stress
anti strijkstokbeleid|strijkstokbeleid tegen 
anti strike functie|functie tegen strike
anti stro conditioner|conditioner tegen stro
anti stroperij eenheden|eenheden tegen stroperij
anti stroperij eenheid|eenheid tegen stroperij
anti stroperij interventies|interventies tegen stroperij
anti stroperij operaties|operaties tegen stroperij
anti stroperij patrouille|patrouille tegen stroperij
anti stroperij patrouilles|patrouilles tegen stroperij
anti stroperij programma|programma tegen stroperij
anti stroperij projecten|projecten tegen stroperij
anti stroperij team|team tegen stroperij
anti stroperij units|units tegen stroperij
anti stropers eenheden|eenheden tegen stropers
anti stropers patrouilles|patrouilles tegen stropers
anti stroper spoorzoekers|spoorzoekers tegen stroper
anti stropers team|team tegen stropers
anti stropers unit|unit tegen stropers
anti studenten houding|houding tegen studenten
anti stuiptrekking eigenschappen|eigenschappen tegen stuiptrekking
anti subsidie heffing|heffing tegen subsidie
anti subsidie maatregelen|maatregelen tegen subsidie
anti supporters forum|forum tegen supporters
anti supporters moed|moed tegen supporters
anti SUV parkeerbeleid|parkeerbeleid tegen SUV
anti sway controle|controle tegen sway
anti systeem analyse|analyse tegen systeem
anti systeem aspecten|aspecten tegen systeem
anti systeem beweging|beweging tegen systeem
anti systeem karakter|karakter tegen systeem
anti systeem keuze|keuze tegen systeem
anti systeem partij|partij tegen systeem
anti systeem partijen|partijen tegen systeem
anti systeem trends|trends tegen systeem
anti systematicus par|par tegen systematicus
anti tabak kaars|kaars tegen tabak
anti tabak lobbyisten|lobbyisten tegen tabak
anti tabak maatregelen|maatregelen tegen tabak
anti tabak organisaties|organisaties tegen tabak
anti tabak stichting|stichting tegen tabak
anti tabakswetgeving reclame-inkomsten|reclame-inkomsten tegen tabakswetgeving
anti tabak wereld|wereld tegen tabak
anti tags materiaal|materiaal tegen tags
anti talg effect|effect tegen talg
anti taliban figuren|figuren tegen taliban
anti Tamil pogroms|pogroms tegen Tamil
anti tamper maatregelen|maatregelen tegen tamper
anti tamper software|software tegen tamper
anti tandbederf vereniging|vereniging tegen tandbederf
anti tandplak effect|effect tegen tandplak
anti tandplak vormingseffect|vormingseffect tegen tandplak
anti tandsteen kauwbrokjes|kauwbrokjes tegen tandsteen
anti tandsteen systeem|systeem tegen tandsteen
anti tandsteen tandpasta's|tandpasta's tegen tandsteen
anti tankgeschut paraplu|paraplu tegen tankgeschut
anti tankgeschut regiment|regiment tegen tankgeschut
anti tankkanaal richting|richting tegen tankkanaal
anti tankkanonnen dekking|dekking tegen tankkanonnen
anti Tarantino kruistocht|kruistocht tegen Tarno
anti tattoo vrienden|vrienden tegen tattoo
anti tbc medicijnen|medicijnen tegen tbc
anti TB drug|drug tegen TB
anti TB medicatie|medicatie tegen TB
anti techniek activisten|activisten tegen techniek
anti technologie extremisten|extremisten tegen technologie
anti technologie organisatie|organisatie tegen technologie
anti technologie positie|positie tegen technologie
anti technologie terroristen|terroristen tegen technologie
anti tederheid taboe|taboe tegen tederheid
anti teek behandeling|behandeling tegen teek
anti teek kleding|kleding tegen teek
anti televisie roman|roman tegen televisie
anti telomerase behandelingen|behandelingen tegen telomerase
anti termieten behandeling|behandeling tegen termieten
anti termieten spulletje|spulletje tegen termieten
anti terreuractie|terreuractie tegen 
anti terreuracties|terreuracties tegen 
anti terreur afdeling|afdeling tegen terreur
anti terreur agent|agent tegen terreur
anti terreur agenten|agenten tegen terreur
anti terreur beleid|beleid tegen terreur
anti terreur bestrijdingen|bestrijdingen tegen terreur
anti terreur bewakers|bewakers tegen terreur
anti terreurbrigade|terreurbrigade tegen 
anti terreur cel|cel tegen terreur
anti terreur coördinatoren|coördinatoren tegen terreur
anti terreur demonstratie|demonstratie tegen terreur
anti terreur demonstraties|demonstraties tegen terreur
anti terreur departement|departement tegen terreur
anti terreur deskundigen|deskundigen tegen terreur
anti terreur documenten|documenten tegen terreur
anti terreureenheden|terreureenheden tegen 
anti terreureenheid|terreureenheid tegen 
anti terreur expert|expert tegen terreur
anti terreur gebeurtenis|gebeurtenis tegen terreur
anti terreur hek|hek tegen terreur
anti terreur hekwerk|hekwerk tegen terreur
anti terreur industrie|industrie tegen terreur
anti terreur klimaat|klimaat tegen terreur
anti terreur maatregel|maatregel tegen terreur
anti terreurmaatregelen|terreurmaatregelen tegen 
anti terreur manifestatie|manifestatie tegen terreur
anti terreur muur|muur tegen terreur
anti terreur oefening|oefening tegen terreur
anti terreur oefeningetje|oefeningetje tegen terreur
anti terreur officier|officier tegen terreur
anti terreur operatie|operatie tegen terreur
anti terreur operaties|operaties tegen terreur
anti terreur organisatie|organisatie tegen terreur
anti terreur para|para tegen terreur
anti terreurplannen kabinet|kabinet tegen terreurplannen
anti terreur politie|politie tegen terreur
anti terreur project|project tegen terreur
anti terreur resolutie|resolutie tegen terreur
anti terreur richtlijn|richtlijn tegen terreur
anti terreur specialisten|specialisten tegen terreur
anti terreur spotjes|spotjes tegen terreur
anti terreur team|team tegen terreur
anti terreur terroristen|terroristen tegen terreur
anti terreur toestanden|toestanden tegen terreur
anti terreur unit|unit tegen terreur
anti terreurwetgeving|terreurwetgeving tegen 
anti terreurwetten toegang|toegang tegen terreurwetten
anti terreurwetten vlotjes|vlotjes tegen terreurwetten
anti terreur zakjes|zakjes tegen terreur
anti terrorisme actie|actie tegen terrorisme
anti terrorisme afdeling|afdeling tegen terrorisme
anti terrorisme baasjes|baasjes tegen terrorisme
anti terrorismebeleid|terrorismebeleid tegen 
anti terrorisme bende|bende tegen terrorisme
anti terrorisme botsproef|botsproef tegen terrorisme
anti terrorisme campagne|campagne tegen terrorisme
anti terrorisme coalitie|coalitie tegen terrorisme
anti terrorisme commissie|commissie tegen terrorisme
anti terrorisme coördinator|coördinator tegen terrorisme
anti terrorisme denktank|denktank tegen terrorisme
anti terrorisme drogreden|drogreden tegen terrorisme
anti terrorisme eenheden|eenheden tegen terrorisme
anti terrorisme eenheid|eenheid tegen terrorisme
anti terrorisme expert|expert tegen terrorisme
anti terrorisme experts|experts tegen terrorisme
anti terrorisme financiering|financiering tegen terrorisme
anti terrorisme firewall|firewall tegen terrorisme
anti terrorisme gemeenschap|gemeenschap tegen terrorisme
anti terrorisme idee|idee tegen terrorisme
anti terrorisme instituut|instituut tegen terrorisme
anti terrorisme maatregel|maatregel tegen terrorisme
anti terrorisme maatregelen|maatregelen tegen terrorisme
anti terrorisme oefening|oefening tegen terrorisme
anti terrorisme opdrachten|opdrachten tegen terrorisme
anti terrorisme operatie|operatie tegen terrorisme
anti terrorisme operaties|operaties tegen terrorisme
anti terrorisme organisaties|organisaties tegen terrorisme
anti terrorismeplan minister|minister tegen terrorismeplan
anti terrorisme praktijken|praktijken tegen terrorisme
anti terrorisme programma|programma tegen terrorisme
anti terrorisme rechtbank|rechtbank tegen terrorisme
anti terrorisme regels|regels tegen terrorisme
anti terrorisme spotje|spotje tegen terrorisme
anti terrorisme standpunt|standpunt tegen terrorisme
anti terrorisme surveillance|surveillance tegen terrorisme
anti terrorisme training|training tegen terrorisme
anti terrorisme verklaring|verklaring tegen terrorisme
anti terrorisme waanzin|waanzin tegen terrorisme
anti terrorisme wetgeving|wetgeving tegen terrorisme
anti terrorismewetgevingen|terrorismewetgevingen tegen 
anti terrorist agent|agent tegen terrorist
anti terroristeneenheid|terroristeneenheid tegen 
anti terroristen milities|milities tegen terroristen
anti terroristen regels|regels tegen terroristen
anti terroristen team|team tegen terroristen
anti terrorist unit|unit tegen terrorist
anti terugkoppelingssysteem zult|zult tegen terugkoppelingssysteem
anti terugslag spouwmes|spouwmes tegen terugslag
anti terugslag veiligheidsklep|veiligheidsklep tegen terugslag
anti testosteron therapie|therapie tegen testosteron
anti tetanus bloedplasmadonatie|bloedplasmadonatie tegen tetanus
anti tetanus immunoglobuline|immunoglobuline tegen tetanus
anti tetanusinjectie|tetanusinjectie tegen 
anti tetanus vaccin|vaccin tegen tetanus
anti tetanus vaccinatie|vaccinatie tegen tetanus
anti Teun opmerkingen|opmerkingen tegen Teun
anti Thaksin actievoerder|actievoerder tegen Thaksin
anti Thaksin beweging|beweging tegen Thaksin
anti Thaksin demonstranten|demonstranten tegen Thaksin
anti Thaksin gevoelens|gevoelens tegen Thaksin
anti Thaksin protesteerders|protesteerders tegen Thaksin
anti Thaksin regering|regering tegen Thaksin
anti Thaksin senator|senator tegen Thaksin
anti Thaksin sentimenten|sentimenten tegen Thaksin
anti theïsme Aristoteles|Aristoteles tegen theïsme
anti these strekking|strekking tegen these
anti Tiel campagne|campagne tegen Tiel
anti tijd generator|generator tegen tijd
anti timing regeling|regeling tegen timing
anti tinnitus programma|programma tegen tinnitus
anti torpedo bepaling|bepaling tegen torpedo
anti torpedo kanonnen|kanonnen tegen torpedo
anti torren schild|schild tegen torren
anti torsie afvoerslang|afvoerslang tegen torsie
